Rashell,Rasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raskell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratcliff,Ratclif,Racliffe,Ratcliffe,Racliffe,Rackcliffe,Radclyffe,Ratcleyff,Ratclife,Radclif,Ratliffe,Ratclyff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw,Rawe,Rawee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawdon,Rawdein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawlin,Rawlinge,Rawlen,Rawling,Rawlyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawlinson,Rawlingson,Rawlyson,Rawlison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawson,Raurson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raylse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayner,Raynor,Rainer,Ranarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read,Reid,Rede,Reade,Reyd,Reede,Reed,Ryed,Reyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,Reddinge,Redinge,Rydinge,Redyng,Ryding,Rydden,Ruddinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reasley,Reaslye,Resley,Reisley,Realey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reay,Rey,Raie,Ray,Reaye,Rayd,Rea,Rei,Reaw,Raye,Reye,Rye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rechels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redhead,Readhead,Readheed,Redhed,Reedhead,Readhed,Readheade,Reedheade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redley,Readley,Redlye,Redly,Reydlye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redman,Readman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redshaw,Readshawe,Readeshawe,Readshaw,Readeshaw,Redshawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reeder,Redar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rell,Relle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relph,Relfe,Relf,Relff,Reyffe,Reilph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renby,Renebye,Rynubye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rennet,Ranatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rennie,Rennye,Renneye,Rene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rennison,Ranison,Renisson,Rentson,Ronnyson,Renison,Renyson,Raynison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renwick,Ranick,Renick,Rannke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reveley,Revlie,Revley,Revelie,Reaveleye,Revelay,Reavley,Reavlye,Riveley,Roveley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richardson,Richardsonn,Richarsonn,Rickisonn,Richeson,Richisonn,Richesonn,Richison,Richasson,Rychardson,Rycheson,Richerdson,Richerdsone,Ritchison,Richuson,Rychrdeson,Richinson,Rycherdson,Rykardson,Rykerdson,Rikerdson,Rekerdson,Rechardson,Recheson,Recardson,Rechyson,Rycardeson,Rychyson,Richyson,Rekeson,Richison,Richardsonne,Richesonne,Richerson,Richedson,Richerdeson,Recherdson,Richeson,Rycheson,Richesonn,Richardsone,Rechisone,Rechisone,Rechison
Richell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Richmondt,Richmodnt,Richmount,Richmont,Richmonte,Richman,Richmonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rickaby,Rickibie,Rickabie,Rekabie,Rickabie,Reekabye,Richerdsby,Ruckby,Rickebe,Ricubye,Richardbye,Ricubie,Ricaby,Rickby,Rychyby,Richardby,Ricardby,Recabie,Ricarbie,Rickerbye,,,,,,,,,,,,,,,,,,,,,,,,
Rickerts,Rickerst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riddell,Riddle,Riddale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgeway,Ridgwaie,Ridgewaie,Rydgway,Ridgway,Ridgwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riding,Ridding,Ridinge,Ridinge,Riddinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridley,Ridlie,Ridleye,Ridlye,Rydley,Ridlay,Rydlay,Rydlye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridsdale,Rydesdayle,Rodysdale,Ryddesdell,Rydsdell,Rydesdaill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigg,Rigge,Rygge,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigmaiden,Rigmayden,Reikmaidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley,Ryley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripley,Riplaye,Riplay,Ripplay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripon,Rippen,Rippon,Rypon,Ryppon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rippeth,Ryppeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rish,Rissh,Rissce,Rishe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risley,Raislay,Rysly,Ryslye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road,Rode,Roode,Rood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roads,Roades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts,Robarts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinson,Robinsonn,Robisonn,Robeson,Robesonn,Robison,Robinsonne,Robynson,Roobinson,Robinsone,Robesone,Robenson,Robyson,Robbyeson,Robeyson,Robbyson,Robysson,Ribinson,Robingsone,Robingeson,Robisonne,Rebason,,,,,,,,,,,,,,,,,,,,,,
Robson,Robsonn,Robsonne,Robsone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,Rotchester,Rawchester,Ratchester,Rechester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,Roke,Rocke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodham,Rodume,Rhoddom,Roddom,Rodom,Roddam,Roddham,Rodam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers,Roger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogerson,Rogersonn,Rogersonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokeby,Rokebye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rombleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald,Raynold,Raynard,Raynart,Ranald,Regnould,Ranolde,Raynarde,Raynerd,Ranard,Ranarde,Reynard,Raynolde,Renald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldson,Rainetsonn,Rainoldson,Raynoldsone,Raynoldson,Raynoldsone,Rennard,Renolson,Renalson,Renaldson,Rennalson,Raynoldsonne,Ranoldson,Ranaldson,Renetson,Ranardson,Ranelson,Ranetson,Ranaldsonne,Ranoldsonn,Ranoldsonne,Renelson,Reynoldson,Rennetson,Renoldson,Ranoldeson,Rennatson,Reynysone,,,,,,,,,,,,,,,,
Rook,Rooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roost,Roste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roper,Raper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ropper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,Roise,Roase,Roose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roseby,Rosbee,Rowsby,Rowsbye,Rousbie,Rowssby,Roisbie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross,Rosse,Roosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rounthwaite,Rownwhat,Runthit,Runthort,Runthwith,Rownthwate,Rownthwaite,Rounthwait,Runthwaite,Runthwate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routh,Rowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routledge,Rutless,Rutlish,Rutlesse,Rutles,Routles,Rowtlesse,Rutleth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row,Rowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowan,Rowane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowbottom,Rowbidom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowell,Rulles,Reilles,Rull,Rowles,Rewell,Rewel,Rowll,Rowlle,Roull,Rowle,Ruell,Rule,Rowlles,Roll,Rowall,Rowlee,Rowelle,Rawell,Rawles,Rowles,Roule,,,,,,,,,,,,,,,,,,,,,,
Rowghton,Rawghton,Raughton,Rawhton,Raufgton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowhead,Rowhehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowlandson,Rawlandson,Rolandson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowling,Rowlyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowlison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowman,Romeman,Rowmayn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowntree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxby,Rokesbye,Roockesbye,Rookesbye,Rokesbye,Roocksbye,Rockesby,Roxbie,Roxbye,Roxesbye,Rokesebye,Rockesebye,Rokesby,Rokesbye,Rockesbey,Rowksbye,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudd,Rud,Rudde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruddock,Ryddicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruggett,Rowget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumford,Roumfett,Rumfoot,Roumfoot,Rumforthe,Romfoote,Rumfoote,Rumfote,Romfote,Romford,Romfoyth,Romforth,Romfoth,Romfelt,Romphett,Rumfet,Rumphett,Rumphet,Rumfett,Rumforth,Romthat,,,,,,,,,,,,,,,,,,,,,,,
Rumney,Romeley,Romney,Rumneye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runchman,Runshman,Runchmane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rushboard,Rushbawd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford,Ruderforth,Ruderford,Ruderforthe,Rudderfoorth,Rudderfoorthe,Rudderforth,Rotharforth,Roderforth,Rutherforthe,Rutherforth,Rudderfourth,Rutherfoorthe,Roodforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutter,Ruter,Rowtter,Ruytter,Ruitter,Ruytter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryall,Riall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryat,Ryate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
