Jobling,Joblinge,Joblin,Joblyn,Joblyne,Joblynge,Jopling,Joplinge,Joplin,Jopline,Joplyn,Joplyne,Choblyng,Choblynge,,,,
Jobson,Jobsonn,,,,,,,,,,,,,,,,
Joby,Jobye,Jobie,,,,,,,,,,,,,,,
Joest,,,,,,,,,,,,,,,,,
John,Johns,Johnes,,,,,,,,,,,,,,,
Johnson,Johnsone,Johnsonn,Johnsonne,Johneson,Johnesone,Johnnesone,Jonson,Jonsonn,Jhonson,,,,,,,,
Joling,,,,,,,,,,,,,,,,,
Jolley,Jollie,Jolly,Jollye,Joly,Joyllye,Joylye,,,,,,,,,,,
Jordan,Jordane,Jorden,Jordens,Jurdan,Jurden,,,,,,,,,,,,
Jordison,Jurdeson,Jurdison,,,,,,,,,,,,,,,
Joyce,Goyse,Jowsey,Joycye,Jocye,Jocide,,,,,,,,,,,,
Joyner,,,,,,,,,,,,,,,,,
Judson,Judsonn,,,,,,,,,,,,,,,,
Jue,,,,,,,,,,,,,,,,,
Juster,Justher,,,,,,,,,,,,,,,,
Justice,Justisse,Justesse,Justic,,,,,,,,,,,,,,
Jutland,,,,,,,,,,,,,,,,,
Kay,Kaye,Kaie,,,,,,,,,,,,,,,
Kearston,Kearstone,Kearstonn,Keerston,Keirstonn,Keirston,Kerston,Kierston,Kierstone,Kierstonn,Keyrston,Kyerston,,,,,,
Kearton,,,,,,,,,,,,,,,,,
Keel,Keelle,,,,,,,,,,,,,,,,
Keighley,Ketheley,Kethelory,Kethly,Keythley,,,,,,,,,,,,,
Keith,Keeth,,,,,,,,,,,,,,,,
Kell,,,,,,,,,,,,,,,,,
Kelly,,,,,,,,,,,,,,,,,
Kelsey,Kelsay,Kelsaye,,,,,,,,,,,,,,,
Kelway,Kelwaye,,,,,,,,,,,,,,,,
Kemp,Kempe,,,,,,,,,,,,,,,,
Kenaty,Kenatye,Kennatey,Kenatie,Kenate,,,,,,,,,,,,,
Kendal,Kendale,Kendall,Kendell,,,,,,,,,,,,,,
Kendalson,Kyendellson,,,,,,,,,,,,,,,,
Kendrow,,,,,,,,,,,,,,,,,
Kennedy,Knadye,,,,,,,,,,,,,,,,
Kennet,,,,,,,,,,,,,,,,,
Kenny,Kennye,,,,,,,,,,,,,,,,
Kent,Kente,,,,,,,,,,,,,,,,
Kerswell,Kirswell,,,,,,,,,,,,,,,,
Kester,,,,,,,,,,,,,,,,,
Ketley,Ketlayes,,,,,,,,,,,,,,,,
Kettlewell,Ketlewell,,,,,,,,,,,,,,,,
Key,Keye,,,,,,,,,,,,,,,,
Kick,Kike,,,,,,,,,,,,,,,,
Kidd,Kydd,,,,,,,,,,,,,,,,
Kiddell,Kidall,Kyddall,,,,,,,,,,,,,,,
Kidder,Kiddar,,,,,,,,,,,,,,,,
Kidding,Kiddinge,,,,,,,,,,,,,,,,
Kidgell,Kydgell,,,,,,,,,,,,,,,,
Kidson,Kidsonne,,,,,,,,,,,,,,,,
Kilburn,Kilburne,Kilborne,Kilbourne,Kiborn,,,,,,,,,,,,,
Kildale,Kelldell,,,,,,,,,,,,,,,,
Killerby,Killerbye,Killerbie,Kyllerbye,,,,,,,,,,,,,,
Killinghall,Killingall,Kyllingall,,,,,,,,,,,,,,,
Kilmorey,Kelmerie,,,,,,,,,,,,,,,,
Kindleyside,Kinelysid,Kenelyside,Kenesyde,Kenlasyd,Kyndlesyde,Kyndlyesyde,,,,,,,,,,,
Kindling,Kindlinge,Kenelinge,,,,,,,,,,,,,,,
King,Kinge,Kynge,,,,,,,,,,,,,,,
Kingman,,,,,,,,,,,,,,,,,
Kingsmill,Kingesmell,,,,,,,,,,,,,,,,
Kingson,Kyngson,,,,,,,,,,,,,,,,
Kingston,Kingstone,,,,,,,,,,,,,,,,
Kington,Kinghton,,,,,,,,,,,,,,,,
Kinlay,Kynlay,,,,,,,,,,,,,,,,
Kipling,Kiplinge,Kyplyng,,,,,,,,,,,,,,,
Kirkby,Kirkbie,Kirkbe,Kirkebey,Kirckbey,Kirckby,Kirckbye,Kyerkeby,,,,,,,,,,
Kirkham,Kyrkham,,,,,,,,,,,,,,,,
Kirkhouse,Kirkehouse,Kirckhouse,Kirckas,Kirkas,Kirkes,,,,,,,,,,,,
Kirkin,,,,,,,,,,,,,,,,,
Kirkley,Kirkly,Kirckley,Kirkeley,Kirkely,Kirklay,Kerkley,Kyrklay,Kyrkle,Kyrkley,Kyrklye,Kirtley,Kirtle,Kertley,Kyetley,Kytley,Kertly,
Kirkman,Kirkeman,Kirckman,Kyrkman,Kyrekman,Kyrkeman,Kryrkman,,,,,,,,,,,
Kirsopp,Kirsoppe,Kirsop,Kissop,Kyrsop,,,,,,,,,,,,,
Kirston,Kirstonn,Kerstone,,,,,,,,,,,,,,,
Kirton,Kirten,Kirtton,Kerton,Kyrton,Kyrtton,,,,,,,,,,,,
Kitchen,Kitchin,Kitchine,Kitching,Kitchinge,Kichine,Kitshing,Kechyng,Kychinge,Kyrchen,Kytcheinge,Kytchen,Kytchin,Kytching,,,,
Knaggs,Knagges,Knages,Knagg,Knagge,Knag,Knake,,,,,,,,,,,
Knausdell,Knaisdell,Knaisell,Knasdell,Knawsdale,,,,,,,,,,,,,
Knighton,Knyghton,,,,,,,,,,,,,,,,
Kye,,,,,,,,,,,,,,,,,
Kylman,,,,,,,,,,,,,,,,,
Kynaston,Kynastone,,,,,,,,,,,,,,,,
Cant,Kant,,,,,,,,,,,,,,,,
Carnaby,Kenabie,,,,,,,,,,,,,,,,
Carr,Kare,Karr,Karre,,,,,,,,,,,,,,
Carter,Karter,,,,,,,,,,,,,,,,
Catterick,Katherick,Kathericke,Kattrick,,,,,,,,,,,,,,
Cockadell,Kokaydell,,,,,,,,,,,,,,,,
Cockerell,Kokerhell,,,,,,,,,,,,,,,,
Cook,Koke,Kooke,Kowk,,,,,,,,,,,,,,
Copeland,Kowpland,,,,,,,,,,,,,,,,
Corner,Korne,,,,,,,,,,,,,,,,
Creighton,Khreghton,Kreyghton,,,,,,,,,,,,,,,
Crilley,Krieley,,,,,,,,,,,,,,,,
Currey,Kurray,Kurrey,,,,,,,,,,,,,,,
England,Iglande,Ingland,,,,,,,,,,,,,,,
English,Inglysse,,,,,,,,,,,,,,,,
Gent,Jent,,,,,,,,,,,,,,,,
Gerland,Jerland,,,,,,,,,,,,,,,,
Guildford,Juilford,,,,,,,,,,,,,,,,
Nesbitt,Knesbett,,,,,,,,,,,,,,,,
Newstob,Knewstob,Knewstoppe,,,,,,,,,,,,,,,
Nosely,Knoseley,,,,,,,,,,,,,,,,
Rawnton,Kawnton,,,,,,,,,,,,,,,,
Rippon,Kippon,Kipping,,,,,,,,,,,,,,,
