Faceby,Facebie,Fasebie,,,,,,,,,,,,,,,,,,,,,,
Fairbairn,Fairbarne,Fairebarne,,,,,,,,,,,,,,,,,,,,,,
Fairlamb,Fairlam,Fayrelama,,,,,,,,,,,,,,,,,,,,,,
Fairland,Fareland,,,,,,,,,,,,,,,,,,,,,,,
Fairless,Fairallers,Faireallers,Fairles,Farelas,Farelayes,Fareles,Fareless,Fareallers,Farlisse,Farrelas,Farles,Feralesse,Fereles,Ferelesse,Ferlesse,Ferraleyes,Ferrelesse,Fayrallars,Fayrallers,Fayreallers,Fayrhallers,Fayrhalles,Farralans,
Fly,Flie,,,,,,,,,,,,,,,,,,,,,,,
Fobert,Foberde,,,,,,,,,,,,,,,,,,,,,,,
Foby,,,,,,,,,,,,,,,,,,,,,,,,
Foggett,Foggart,Foggert,Fogget,Foggar,Fogget,Foggard,Foggarde,Foggat,Fogger,Foggerd,,,,,,,,,,,,,,
Follansby,Follansbye,Follensbey,Follansbey,Follansbie,Folensbye,Follingsby,Follinsbey,Folinsbey,,,,,,,,,,,,,,,,
Font,Fontte,Faunte,,,,,,,,,,,,,,,,,,,,,,
Forcer,Focer,Forser,Forsser,Foser,Fosser,Foysser,,,,,,,,,,,,,,,,,,
Ford,Forde,Foord,Fowrd,,,,,,,,,,,,,,,,,,,,,
Foreman,Forman,Fomyn,Fomynge,,,,,,,,,,,,,,,,,,,,,
Forrest,Forest,Foreste,Forist,,,,,,,,,,,,,,,,,,,,,
Forster,Foyster,Fuyster,Foster,Fauster,Fawster,Fuster,Feuster,Fewester,Fewster,Fost,,,,,,,,,,,,,,
Forward,Forwod,Forwood,,,,,,,,,,,,,,,,,,,,,,
Fothergill,Fotherkell,,,,,,,,,,,,,,,,,,,,,,,
Fotheringham,Fodringham,,,,,,,,,,,,,,,,,,,,,,,
Foulman,,,,,,,,,,,,,,,,,,,,,,,,
Fowbery,Fowbarye,,,,,,,,,,,,,,,,,,,,,,,
Fowke,Fowcke,Foucke,Fouke,Fooke,Fulke,,,,,,,,,,,,,,,,,,,
Fowler,Fawler,Fewler,Fouler,,,,,,,,,,,,,,,,,,,,,
Fox,Foxe,,,,,,,,,,,,,,,,,,,,,,,
Foxton,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Framer,Fram,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,
Francis,,,,,,,,,,,,,,,,,,,,,,,,
Franel,,,,,,,,,,,,,,,,,,,,,,,,
Franke,,,,,,,,,,,,,,,,,,,,,,,,
Frankland,Franckland,Franckeland,,,,,,,,,,,,,,,,,,,,,,
Franklin,Francklin,Francklaine,Francklayne,Francklyne,Franklaine,Franklayne,,,,,,,,,,,,,,,,,,
Frear,Freare,Frier,Friers,Fryer,Freers,Frere,,,,,,,,,,,,,,,,,,
French,Frenche,Frenshe,Franch,Franche,,,,,,,,,,,,,,,,,,,,
Frenchman,Francheman,,,,,,,,,,,,,,,,,,,,,,,
Frevell,Fravell,Frivell,Frefell,Frevile,,,,,,,,,,,,,,,,,,,,
Friend,Friende,Freand,Freande,Frend,Frende,Freinde,Frind,,,,,,,,,,,,,,,,,
Frisell,Fresell,Fresill,Fressall,Fressell,Fressill,Freisell,Fresall,Frishell,Frissell,Frizzell,Frysel,Frysell,,,,,,,,,,,,
Frish,,,,,,,,,,,,,,,,,,,,,,,,
Frost,Froste,,,,,,,,,,,,,,,,,,,,,,,
Fuller,Fuler,,,,,,,,,,,,,,,,,,,,,,,
Fullerton,,,,,,,,,,,,,,,,,,,,,,,,
Fulthrop,Fulthrope,Fulthropp,Fulthroppe,Fullthropp,Fulthorppe,Fultrope,Folthrope,Foltrop,Foulethropp,Foulthorpp,Foulthrop,Foulthropp,Fowthrop,Fowthrope,,,,,,,,,,
Furness,Fernisye,,,,,,,,,,,,,,,,,,,,,,,
Fussell,Fusill,,,,,,,,,,,,,,,,,,,,,,,
Fyfe,Fyff,Fyffe,Fyeff,Fiphe,,,,,,,,,,,,,,,,,,,,
Fyllope,Philip,,,,,,,,,,,,,,,,,,,,,,,
Fylpe,Philip,,,,,,,,,,,,,,,,,,,,,,,
